"age","prob_dying","avg_length","num_living","num_survived","num_died","years_lived","life_expectancy"
0,0.0019985,0.5,10000,9980.015,19.985,9990.0075,86.6239909650526
1,0.0004474,2,9980.015,9975.549941289,4.465058711,39911.129882578,86.7964544292294
5,0.000328,2.5,9975.549941289,9972.27796090826,3.27198038074279,49869.5697554931,86.8339617437135
10,0.0003438,2.5,9972.27796090826,9968.8494917453,3.42846916296026,49852.8186316339,86.8599918210308
15,0.0007387,2.5,9968.8494917453,9961.48550262574,7.36398911955225,49825.8374859276,86.8855655784767
20,0.0009189,2.5,9961.48550262574,9952.33189359738,9.15360902836279,49784.5434905578,86.9368585859141
25,0.000949,2.5,9952.33189359738,9942.88713063036,9.44476296702391,49738.0475605693,86.996124074326
30,0.0013554,2.5,9942.88713063036,9929.4105414135,13.4765892168564,49680.7441801096,87.0526395292393
35,0.0020639,2.5,9929.4105414135,9908.91723099708,20.4933104164233,49595.8194310264,87.1266805320324
40,0.003427,2.5,9908.91723099708,9874.95937164645,33.957859350627,49459.6915066088,87.2293168691186
45,0.0057396,2.5,9874.95937164645,9818.28105483695,56.678316809502,49233.1010662085,87.3831313602903
50,0.0088861,2.5,9818.28105483695,9731.03482755556,87.2462272813866,48873.2897059813,87.6133660359905
55,0.0128286,2.5,9731.03482755556,9606.19927416678,124.835553388779,48343.0852543059,87.9281844256149
60,0.0191137,2.5,9606.19927416678,9422.58926310014,183.610011066642,47571.9713431673,88.3236081653246
65,0.0287862,2.5,9422.58926310014,9151.34872405469,271.240539045453,46434.8449678871,88.8268109314246
70,0.0485194,2.5,9151.34872405469,8707.33077477279,444.017949281899,44646.6987470687,89.4589249364296
75,0.0866472,2.5,8707.33077477279,7952.8649436649,754.465831107893,41650.4892960942,90.3237211945568
80,0.1632085,2.5,7952.8649436649,6654.88978550677,1297.97515815813,36519.3868229292,91.5402713984747
85,0.3016126,2.5,6654.88978550677,4647.69117458663,2007.19861092014,28256.4524002335,93.3034933415011
90,0.5014129,2.5,4647.69117458663,2317.27886443274,2330.41231015389,17412.4250975484,95.8098482897903
95,0.7119718,2.5,2317.27886443274,667.441660220606,1649.83720421213,7461.80131163337,99.1384555272093
100,0.8672966,2.5,667.441660220606,88.5717776129192,578.869882607687,1890.03359458381,103.188524690323
105,0.9623104,2.5,88.5717776129192,3.33823486951988,85.2335427433993,229.775031206098,107.688448
110,1,2.5,3.33823486951988,0,3.33823486951988,8.3455871737997,112.5
